,nombre,categoría,descripción,sección,url
23,BIO1,Biombo,Biombo 4 hojas tapizado rojo y oro con galón,Dormitorio  ,admin/img_prod/BIO1/BIO1-1-720x540.png
24,BIS1,Bis a bis,Bis a bis bambú nogal tapizado terciopelo rojo y azul,Salón  ,admin/img_prod/BIS1/BIS1-1-720x540.png
25,BRA1,Brasero,Braseros pletina hierro de palo,Calefaccion  Medieval  ,admin/img_prod/BRA1/BRA1-1-720x540.png
26,BUT1,Butaca de cine,Fila de 5 asientos de butacas de cine pana roja,Cine  Teatro  ,admin/img_prod/BUT1/BUT1-1-720x540.png
27,CAB1,Caballete,Caballete de pintor Luis XV dorado,Frances  Pintor  ,admin/img_prod/CAB1/CAB1-1-720x540.png
28,CAR1,Caja registradora,Caja registradora MCR con cajón,Tienda  ,admin/img_prod/CAR1/CAR1-1-720x540.png
29,CF1,Caja fuerte,Caja fuerte antigua con cajón y copete madera,,admin/img_prod/CF1/CF1-720x540.png
30,CAJ1,Caja,Caja de madera gris interior CINC,Cajas  Militar  ,admin/img_prod/CAJ1/CAJ1-1-720x540.png
31,CA1,Cama,Cabecero capitoné tapizado terciopelo marrón,Cabecero  Dormitorio  ,admin/img_prod/CA1/CA1-720x540.png
32,REC1,Reclinatorio,Reclinatorio nogal terciopelo rojo con capilla tallada,Iglesia  Religioso  ,admin/img_prod/REC1/REC1-1-720x540.png
33,CARR1,Carretilla,Carretilla de plataforma de madera,Rústico  ,admin/img_prod/CARR1/CARR1-1-720x540.png
34,CSE1,Carro de servicio,Carro de servicio de caña,Jardín  Mimbre  ,admin/img_prod/CSE1/CSE1-1-720x540.png
35,CTN1,Catenaria,Catenaria madera torneada con base cuadrada,,admin/img_prod/CTN1/CT1-720x540.png
36,CH1,Chaiselongue,Chaiselonge tapizada terciopelo burdeos con cojín,Salón  ,admin/img_prod/CH1/CH1-720x540.png
37,CO1,Cocinas,Cocina de gas 4 fuegos con 2 cajones BENAVENT,Cocina  Electrodomestico  ,admin/img_prod/CO1/CO1-2-720x540.png
38,COM1,Comoda,Cómoda isabelina marquetería 4 cajones,Dormitorio  Isabelino  ,admin/img_prod/COM1/COM1-1-720x540.png
39,CON1,Consola,Consola Luis XVI pintada blanca y oro con chambrana,Frances  Recibidor  ,admin/img_prod/CON1/CON1-1-720x540.png
40,COS1,,Costurero nogal con bolsa cratona y cajón,Costurero  ,admin/img_prod/COS1/COS01.bmp
41,CU1,Cuadro,Cuadro marco ancho madera fotografía Felipe III (Autor de la Cruz),Palacio  Pintor  Retratos  ,admin/img_prod/CU1/CU1-720x540.png
42,ANU1,Carteles y anuncios,Bolsas de tiendas de papel antiguo,Tienda  ,admin/img_prod/ANU1/ANU1-720x540.png
43,ESP1,Espejo,Espejo vestidor francés columnas torneadas,Dormitorio  Frances  ,admin/img_prod/ESP1/ESP1-720x540.png
44,ES1,Estanteria,,Descatalogado  ,admin/img_prod/ES1/LOGOTIPO VAZQUEZ- 720x540.png
45,EST1,Estufa,Estufa salamandra hierro negra,Calefaccion  ,admin/img_prod/EST1/EST1-720x540.png
46,ESTAT1,Estatua,Estatua escayola imagen Santo,Religioso  ,admin/img_prod/ESTAT1/ESTAT1-1-720x540.png
47,ASP1,Aspiradoras,Aspiradora antigua acero con bolsa corinto,Electrodomestico  ,admin/img_prod/ASP1/ASP1-720x540.png
0,GN1,Galan de noche,Galán de noche nogal,Dormitorio  ,admin/img_prod/GN1/GN1-1-720X540.png
1,AGU1,Aguamaniles,Aguamanil loza crema dibujo rosa,Dormitorio  ,admin/img_prod/AGU1/AGU1-720x450.png
2,ADP1,Animales disecados en panoplia,Cabeza de ciervo disecada auténtica,,admin/img_prod/ADP1/ADP1-1-720x540.png
3,F1,Fichero,Fichero madera 4 cajones,Despacho  ,admin/img_prod/F1/F1-1-720x540.png
4,MUS1,Instrumentos musicales,Órgano eléctrico antiguo madera embero,Piano  ,admin/img_prod/MUS1/MUS1-1-720x540.png
5,DPT1,Deporte,Aparato saltador de hierro con muelle,Gimnasio  ,admin/img_prod/DPT1/GIM1 720x540.png
6,LAM1,Lámpara,Lámpara de mesa antigua chapa flor,Lámpara de mesa  Salón  ,admin/img_prod/LAM1/LAM1-720X540.png
7,FUM1,Artículos de fumador,Cajas de puros diferentes,Cajas  ,admin/img_prod/FUM1/FUM1-720x540.png
8,AZP1,Azulejos y platos de pared,Azulejo de pared escena costumbrista marco forja hierro,Decoración  ,admin/img_prod/AZP1/AZP1-720x540.png
9,BAD1,Bandejas,Bandeja metal grabada,,admin/img_prod/BAD1/BAD1-720x540.png
10,BYC1,Atrezzo de bar y cafetería,Jarras de cerveza de loza decorada,Bar y cafetería  ,admin/img_prod/BYC1/BYC1-720x540.png
11,COL1,Atrezzo colegio,Estuches y plumieres antiguos,Colegio  ,admin/img_prod/COL1/COL1-720x540.png
12,DES1,Atrezzo despacho,Escribanía de viaje nogal 2 tinteros,Despacho  Escribanías y tinteros  ,admin/img_prod/DES1/DES1(1)-720x540.png
13,ALA1,Alacena,Descatalogado,Descatalogado  ,admin/img_prod/ALA1/LOGOTIPO VAZQUEZ- 720x540.png
14,CST1,Moda y costura,Acerillo de costura,Avíos de costura  ,admin/img_prod/CST1/CST1-720x540.png
15,VI1,Vitrina,Vitrina rinconera nogal con mesa,Comedor  Salón  ,admin/img_prod/VI1/VI1-1-720x540.png
16,CEM1,Cementerio,Cruz de cementerio de hierro forjado,Cruces  ,admin/img_prod/CEM1/CEM1-720X540.png
17,CHI1,Chimenea,Avíos chimenea hierro.,,admin/img_prod/CHI1/CHI1-720x540.png
18,CRI1,Cristalería,Bombonera de cristal con asa,Bomboneras  ,admin/img_prod/CRI1/CRI1-720x540.png
19,MC1,Macetero,Macetero gótico calado redondeles,Comedor  Gótico  Salón  ,admin/img_prod/MC1/MC1-1-720x540.png
20,ME1,Mesilla,Mesilla francesa con copete y tapa mármol,Dormitorio  Frances  ,admin/img_prod/ME1/ME1-1-720x540.png
21,VET1,Ventilador,Ventilador de mesa pequeño antiguo aspas azules,,admin/img_prod/VET1/VET1-720x540.png
22,REL1,Reloj,Reloj de pie inglés caoba,Inglesa  Salón  ,admin/img_prod/REL1/REL1-1-720x540.png
23,TEL1,Telefonía,Centralita antigua caja nogal,,admin/img_prod/TEL1/TEL1-2-720x540.png
24,MYN1,Maletas y neceseres de viaje,Maletas skay marrón correas,Viaje  ,admin/img_prod/MYN1/MYN1-720x540.png
25,MYC1,Maletines y carteras,Cartera skay amarillo,,admin/img_prod/MYC1/MYC1-720x540.png
26,LYR1,Libros y revistas,Misales,,admin/img_prod/LYR1/LYR1-720x540.png
27,URN1,Urnas,Urna antigua,,admin/img_prod/URN1/URN1-720x540.png
28,TOC1,Objetos de tocador,Botes de tocador plástico azul,Tocador  ,admin/img_prod/TOC1/TOC1-720x540.png
29,VAJ1,Vajilla,Vajilla loza Cartuja negra (12 servicios),Comedor  ,admin/img_prod/VAJ1/VAJ1-720x540.png
30,JUG1,Juguetes,Juego Basquet-Car con su caja,Juguete  ,admin/img_prod/JUG1/JUG1-720x540.png
31,JAR1,Jarrones y jarras,Jarra cobrizada baja asa metal,Adorno  Decoración  Salón  ,admin/img_prod/JAR1/JAR1-720x540.png
32,LOG1,Logicine,Mesilla hospital chapa blanca,Hospital  ,admin/img_prod/LOG1/LOG1-1-720x540.png
33,TYV1,Televisores y vídeos,Televisión portátil roja Grundig (color),Televisor  ,admin/img_prod/TYV1/TYV1-1-720x540.png
34,MYS1,Tocadiscos y altavoces,Altavoces caja madera frontal negro,Altavoces  Electrónica  Musica  Sonido  ,admin/img_prod/MYS1/MYS1-720x540.png
35,SOM1,Sombrereras,Sombrereras actuales,Viaje  ,admin/img_prod/SOM1/SOM1-720x540.png
36,TP1,Tapices y estandartes,Tapiz pintado religioso Pantocrator,Iglesia  Medieval  ,admin/img_prod/TP1/TP1-720x540.png
37,ML1,Librería,Librería despacho ingles caoba puertas cristal,Despacho  Inglesa  ,admin/img_prod/ML1/ML1-1-720x540.png
38,JUZ1,Juzgado,Estrado de juzgado madera tallado de 3 metros,Juzgados  ,admin/img_prod/JUZ1/JUZ1-720x540-removebg-preview.png
39,MED1,Atrezzo medicina,Juego de jeringuillas antiguo,Hospital  Medicina  ,admin/img_prod/MED1/MED1-720x540.png
40,HOS1,Hospitales,Banqueta de hospital giratoria asiento skay,Hospital  Medicina  ,admin/img_prod/HOS1/HOS1-720x540.png
41,VAA1,Atrezzo vario,Alambique de cobre,Adorno  Varios cocina  ,admin/img_prod/VAA1/VAA1-720x540.png
42,GRA1,Gramófonos y gramolas,Gramófono repujado con bocina,Musica  ,admin/img_prod/GRA1/GRA1-720x540.png
43,ARA1,Atrezzo Árabe,Mesa árabe ochavada tapa marquetería,Arabe  ,admin/img_prod/ARA1/ARA1-1-720x540.png
44,SI1,Sillón,Sillón isabelino caoba tapizado tela rayas,Isabelino  Salón  Sillería  ,admin/img_prod/SI1/SI1-1-720x540.png
45,RAD1,Radios,Descatalogado,Descatalogado  ,admin/img_prod/RAD1/LOGOTIPO VAZQUEZ- 720x540.png
46,JAM1,Jamuga,Jamuga dorada cabezas y garras tapizada terciopelo rojo,Navidad  ,admin/img_prod/JAM1/JAM1-1-720x540.png
47,MV1,Muebles varios,Chifonier francés caoba y bronce,Chifonier  Frances  ,admin/img_prod/MV1/MV1-1-720x540.png
0,JAU1,Jaula,Jaula grande de caña,,admin/img_prod/JAU1/JAU1-720x540.png
1,JUE1,Juego,Ruleta de casino de madera y metal auténtica,Casino  ,admin/img_prod/JUE1/JUE1-720x540.png
2,JU1,Juguetero,Juguetero caoba puertas marquetería y espejo,,admin/img_prod/JU1/JU1-1-720x540.png
3,SIL1,Silla,Silla isabelina caoba tapizada tela rayas,Isabelino  Sillería  ,admin/img_prod/SIL1/SIL1 (HAY 4) 720x540.png
4,LM1,Litera de mano,Litera de transporte tapizada damasco rojo,Edad media  ,admin/img_prod/LM1/LM1-1-720X540.png
5,MEC1,Mecedora,Mecedora curvada nogal tapizada skay verde,Curvado  ,admin/img_prod/MEC1/MEC1-1-720x540.png
6,MOS1,Mostrador,Mostrador de tienda de nogal con altillo (se le puede añadir una parte adicional para elevarlo),Tienda  ,admin/img_prod/MOS1/MOS1-1-720x540.png
7,S1,Sofá,Sofá isabelino caoba tapizado tela rayas,Isabelino  Salón  Sillería  ,admin/img_prod/S1/S1-1-720x540.png
8,ILU1,Iluminación,Cabezas de farol de calle,Calle  ,admin/img_prod/ILU1/ILU001__MOU021___HAY_7_-removebg-preview.png
9,PV1,Pie de vela,Hachero de suelo hierro aro calado 7 luces con pincho,Hachero  Iglesia  Medieval  ,admin/img_prod/PV1/PV1-720x540.png
10,SEC1,Secreter,Bureau marquetería con cajones,Americano  Salón  ,admin/img_prod/SEC1/SEC1-1-720x540.png
11,PEL1,Peluquería,Sillón de peluquería tapizado skay negro con secador,,admin/img_prod/PEL1/PEL1-1-720x540.png
12,SR1,Silla de ruedas,Silla de inválido de calle,Hospital  ,admin/img_prod/SR1/SR1-720x540.png
13,PC1,Pizarra,Pizarra de colegio marco madera claro,Colegio  ,admin/img_prod/PC1/PC1-720x540.png
14,BUZ1,Buzones,Bloque de 25 buzones madera y metal,Portal  ,admin/img_prod/BUZ1/BUZ1-1-720x540.png
15,CAM1,Cámara fotos y vídeo,Cámara de fotos antigua figurada con pie,Cámaras de fotos  ,admin/img_prod/CAM1/CAM1-720x540.png
16,QIN1,Quinqués,Quinqué alabastro forma copa,,admin/img_prod/QIN1/QIN1-720x540.png
17,REV1,Revistero,Revistero dorado,Salón  ,admin/img_prod/REV1/REV1-1-720x540.png
18,MOU1,Mobiliario urbano,,Descatalogado  ,admin/img_prod/MOU1/LOGOTIPO VAZQUEZ- 720x540.png
19,CDM1,Centro de mesa,Centro de mesa de alabastro,Adorno  ,admin/img_prod/CDM1/CDM1-720x540.png
20,PAP1,Papelera,Papelera de chapa amarilla,,admin/img_prod/PAP1/PAP1-720x540.png
21,FIG1,Figuras,Caparazón de armadillo,Adorno  ,admin/img_prod/FIG1/FIG1-720x540.png
22,PLA1,Playa,Hamaca de madera con tela de rayas,Hamaca  Jardín  ,admin/img_prod/PLA1/PLA1-1-720x540.png
23,REG1,Religión,Adorno religioso de altar de metal,Iglesia  ,admin/img_prod/REG1/REG1-720x540.png
24,RU1,Rural,Artesa madera con pie,Rústico  Artesa  ,admin/img_prod/RU1/RU1-720x540.png
25,PAR1,Paragüero,Paragüero metal aro calado,,admin/img_prod/PAR1/PAR1-720x540.png
26,GUA1,Guarnición,Guarnición imperio mármol y bronce con reloj y 2 candelabros,Imperio  ,admin/img_prod/GUA1/GUA1-720x540.png
27,PUR1,Puerta,Puerta de cárcel de hierro,Carcel  ,admin/img_prod/PUR1/PUR1-720x540.png
28,ALA2,Alacena,Alacena-armario de cuarterones,Cocina  Español  ,admin/img_prod/ALA2/ALA2-1-720x540.png
29,ALF2,Alfombra,Alfombra persa roja,Arabe  Comedor  Salón  ,admin/img_prod/ALF2/ALF2-1-720x540.png
30,CDM2,Centro de mesa,Centro de mesa alabastro filo metal,Adorno  ,admin/img_prod/CDM2/CDM2-720x540.png
31,AFC2,Alfombra de cama,Alfombrín de cama rojo dibujos infantiles,Dormitorio  ,admin/img_prod/AFC2/AFC2-720x540.png
32,AP2,Aparador,"Trinchero alemán con copete, juego AP1",Alemán  Comedor  ,admin/img_prod/AP2/AP2-1-720x540.png
33,AST2,Atrezzo astronomia,Pie de madera torneado para astrolabio,Astronomía  ,admin/img_prod/AST2/AST2-pie-720x540.png
34,TOR2,Tortura,Garrote vil figurado,Carcel  ,admin/img_prod/TOR2/TOR2-1-720x540.png
35,ARC2,Arcon,,Descatalogado  ,admin/img_prod/ARC2/LOGOTIPO VAZQUEZ- 720x540.png
36,AR2,Armario,Armario inglés caoba puerta central espejo,Dormitorio  Inglesa  ,admin/img_prod/AR2/AR2-720x540.png
37,ARM2,Armero,Armero de fusiles de pared,Militar  ,admin/img_prod/ARM2/ARM2-720x540.png
38,ATD2,Ataud,Ataud figurado pino 2 tapas (Drácula),,admin/img_prod/ATD2/ATD2-1-720x540.png
39,ATR2,Atril,Atril de pino columnas torneadas,Religioso  ,admin/img_prod/ATR2/ATR2-1-720x540.png
40,BL2,Balancin,Caballito balancín de niño,Juguete  Columpio  ,admin/img_prod/BL2/BL2-1-720x540.png
41,BAC2,Banco,Banco gótico cerrado con arcos y columnas,Gótico  ,admin/img_prod/BAC2/BAC2-1-720x540.png
42,BAN2,Banqueta,Banqueta de pie a juego sillón asirio SI-221,,admin/img_prod/BAN2/BAN2-1-720x540.png
43,M2,Mesa,Mesa de jardín tapa mármol figurado verde,Jardín  ,admin/img_prod/M2/M2-1-720x540.png
44,BA2,Baño,Funda de cobre bañada en hierro,Bañera  ,admin/img_prod/BA2/BA2-1-720x540.png
45,BAR2,Bargueño,Bargueño gótico tallado sin tapa con pie,Gótico  ,admin/img_prod/BAR2/BAR2-1-720x540.png
46,BRL2,Barril,Barril de madera mediano,Bar y cafetería  Rústico  ,admin/img_prod/BRL2/BRL2-1-720x540.png
47,BAS2,Bascula,Báscula de mercado con plataforma,Mercado  ,admin/img_prod/BAS2/BAS2-720x540.png
0,BAU2,Baul,Baúl americano rojo inglés,Viaje  Americano  ,admin/img_prod/BAU2/BAU2-1-720x540.png
1,BEB2,Bebé,Cochecito de bebé medio cuco con capota azul,Cochecito  ,admin/img_prod/BEB2/BEB2-1-720x540.png
2,PER2,Perchero,Perchero de pared de roble con barras de metal,Recibidor  ,admin/img_prod/PER2/PER2-1-720x540.png
3,ESC2,Escaleras,Escalera de tijera de madera,Tienda  ,admin/img_prod/ESC2/ESC2-720x540.png
4,BIO2,Biombo,Biombo imperio 3 hojas ovalo tela seda flores,Dormitorio  Imperio  ,admin/img_prod/BIO2/BIO2-720x540.png
5,BIS2,Bis a bis,Bis a bis torneado oro,Salón  ,admin/img_prod/BIS2/BIS2-1-720x540.png
6,BRA2,Brasero,Brasero pletina hierro de suelo,Calefaccion  Medieval  ,admin/img_prod/BRA2/BRA2-1-720x540.png
7,BUT2,Butaca de cine,Fila de 4 asientos de butacas de cine pana roja,Cine  Teatro  ,admin/img_prod/BUT2/BUT2-1-720x540.png
8,CAB2,Caballete,Caballete de estudio madera oscuro,Pintor  ,admin/img_prod/CAB2/CAB2-1-720x540.png
9,CAR2,Caja registradora,Caja registradora marrón NATIONAL,Tienda  ,admin/img_prod/CAR2/CAR2-1 720x540.png
10,CF2,Caja fuerte,Caja fuerte antigua hierro,,admin/img_prod/CF2/CF2-1-720x540.png
11,CAJ2,Caja,Descatalogado,Descatalogado  ,admin/img_prod/CAJ2/LOGOTIPO VAZQUEZ- 720x540.png
12,CA2,Cama,Cabecero forma tapizado raso marón,Cabecero  Dormitorio  ,admin/img_prod/CA2/CA2-720x540.png
13,REC2,Reclinatorio,Reclinatorio nogal tallado tapizado terciopelo rojo con cruz,Iglesia  Religioso  ,admin/img_prod/REC2/REC2-1-720x540.png
14,CARR2,Carretilla,Carretilla de madera con cajón,Rústico  ,admin/img_prod/CARR2/CARR2-1-720x540.png
15,CSE2,Carro de servicio,Carro de servicio de madera oscura con asa.,Cocina  Comedor  Salón  ,admin/img_prod/CSE2/CSE2-1-720X540.png
16,LOG2,Logicine,Macetón fibra marrón,Jardín  ,admin/img_prod/LOG2/LOG2 (HAY 2)-720x540.png
17,CTN2,Catenaria,Catenaria tubo hierro negro cinta extensible.,,admin/img_prod/CTN2/CT2-720x540.png
18,CH2,Chaiselongue,Descatalogado,Descatalogado  ,admin/img_prod/CH2/LOGOTIPO VAZQUEZ- 720x540.png
19,CO2,Cocinas,Cocina de gas 3 fuegos con horno,Electrodomestico  Cocina  ,admin/img_prod/CO2/CO2-720x540.png
20,COM2,Comoda,Cómoda imperio caoba y bronce 4 cajones,Dormitorio  Imperio  ,admin/img_prod/COM2/COM2-1-720x540.png
21,CON2,Consola,Consola Luis XV talla cartón tapa figurada,Frances  Recibidor  ,admin/img_prod/CON2/CON2-1-720x540.png
22,COS2,,Costurero isabelino negro interior raso rojo,Costurero  ,admin/img_prod/COS2/COS2-1-720x540.png
23,CU2,Cuadro,Cuadro marco madera y filo oro ancho oleografía mujer,Retratos  ,admin/img_prod/CU2/CU2-720x540.png
24,ANU2,Carteles y anuncios,Cartel chapa cerveza antiguo,Bar y cafetería  ,admin/img_prod/ANU2/ANU2-720x540.png
25,ESP2,Espejo,Espejo vestidor caoba con copete,Dormitorio  ,admin/img_prod/ESP2/ESP2-720x540.png
26,ES2,Estanteria,Estantería de suelo de bambú,Dormitorio  ,admin/img_prod/ES2/ES2-1-720x540.png
27,EST2,Estufa,Estufa salamandra hierro marrón,Calefaccion  ,admin/img_prod/EST2/EST2 720x540.png
28,ESTAT2,Estatua,Estatua cartón Virgen con niño,Religioso  ,admin/img_prod/ESTAT2/ESTAT2-720x540.png
29,GN2,Galan de noche,Galan de noche pintado marrón,Dormitorio  ,admin/img_prod/GN2/GN2-1-720x540.png
30,AGU2,Aguamaniles,Aguamanil loza crema filo azul,Dormitorio  ,admin/img_prod/AGU2/AGU2-720x540.png
31,ADP2,Animales disecados en panoplia,Cuernos de ciervo en panoplia madera,,admin/img_prod/ADP2/ADP2-720x450.png
32,F2,Fichero,Fichero madera 5 cajones,Despacho  ,admin/img_prod/F2/F2-1-720x540.png
33,MUS2,Instrumentos musicales,Piano de media cola figurado,Musica  Piano  ,admin/img_prod/MUS2/MUS2-1-720x540.png
34,ADO2,Adornos,Adorno mesa rosa antiguo plateado,Salón  ,admin/img_prod/ADO2/ADO2-720x540.png
35,DPT2,Deporte,Cinta andadora mecánica,Gimnasio  ,admin/img_prod/DPT2/DPT2-720x540.png
36,LAM2,Lámpara,Lámpara de mesa antigua escayola pintada,Lámpara de mesa  Salón  ,admin/img_prod/LAM2/LAM2-720X540.png
37,FUM2,Artículos de fumador,Cajas para tabaco,Cajas  ,admin/img_prod/FUM2/FUM2-720x540.png
38,ASP2,Aspiradoras,Aspiradora antigua base triangular bolsa en barra,Electrodomestico  ,admin/img_prod/ASP2/ASP2-720x540.png
39,AZP2,Azulejos y platos de pared,Azulejo pared escena taurina marco forja hierro,Decoración  ,admin/img_prod/AZP2/AZP2-720x540.png
40,BAD2,Bandejas,Bandeja plateada grabada,,admin/img_prod/BAD2/BAD2-720x540.png
41,BYC2,Atrezzo de bar y cafetería,Sifón de cristal antiguo,Bar y cafetería  ,admin/img_prod/BYC2/BYC2-720x540.png
42,COL2,Atrezzo colegio,Pizarrín antiguo,Colegio  ,admin/img_prod/COL2/COL2-720x540.png
43,DES2,Atrezzo despacho,Escribanía de viaje nogal cantoneras metal,Despacho  Escribanías y tinteros  ,admin/img_prod/DES2/DES2-720x540.png
44,CST2,Moda y costura,Bastidor de coser grande antiguo,Avíos de costura  ,admin/img_prod/CST2/CST2-720x540.png
45,CEM2,Cementerio,Lápida de cementerio figurada piedra,,admin/img_prod/CEM2/CEM002-1-720x540.png
46,CHI2,Chimenea,Avíos chimenea metal,,admin/img_prod/CHI2/CHI2-720x540.png
47,CRI2,Cristalería,Bomboneras cristal antiguas,Bomboneras  ,admin/img_prod/CRI2/CRI2-720x540.png
0,MC2,Macetero,Macetero hierro blanco para tres tiestos,Jardín  ,admin/img_prod/MC2/MC2-1-720x540.png
1,ME2,Mesilla,Mesilla francesa con pinturas en el frente,Dormitorio  Frances  ,admin/img_prod/ME2/ME2-1-720x540.png
2,VET2,Ventilador,Ventilador de mesa pequeño crema antiguo,,admin/img_prod/VET2/VET2-720x540.png
3,REL2,Reloj,Reloj de pìe forma guitarra figurado,Salón  ,admin/img_prod/REL2/REL2-1-720x540.png
4,TEL2,Telefonía,Teléfono de pared antiguo caja madera,,admin/img_prod/TEL2/TEL2-720x540.png
5,MYN2,Maletas y neceseres de viaje,Maleta antigua crema cantoneras marrones,Viaje  ,admin/img_prod/MYN2/MYN2-720x540.png
6,MYC2,Maletines y carteras,Bolsas de costado de nylon,,admin/img_prod/MYC2/MYC2-720x540.png
7,LYR2,Libros y revistas,Misales antiguos,,admin/img_prod/LYR2/LYR2-720x540.png
8,URN2,Urnas,Urna antigua,,admin/img_prod/URN2/URN2-720x540.png
9,TOC2,Objetos de tocador,Cajas de tocador de loza colores,Tocador  ,admin/img_prod/TOC2/TOC2-720x540.png
10,VAJ2,Vajilla,Vajilla loza Flor de Lis (12 servicios),Comedor  ,admin/img_prod/VAJ2/VAJ2-720x540.png
11,JUG2,Juguetes,Juego antiguo Batalla Naval con su caja,Juguete  ,admin/img_prod/JUG2/JUG2-720x540.png
12,JAR2,Jarrones y jarras,Jarra cincelada antigua,Adorno  Decoración  Salón  ,admin/img_prod/JAR2/JAR2-720x540.png
13,TYV2,Televisores y vídeos,Televisión portátil crema sharp color (funcionando),Televisor  ,admin/img_prod/TYV2/TYV2-1-720x540.png
14,MYS2,Tocadiscos y altavoces,Altavoces caja madera frontal tela beige,Altavoces  Electrónica  Musica  Sonido  ,admin/img_prod/MYS2/MYS2-720x540.png
15,SOM2,Sombrereras,Sombrerera antiguas de cuero,Viaje  ,admin/img_prod/SOM2/SOM2-720x540.png
16,TP2,Tapices y estandartes,Tapiz pintado religioso Adán y Eva,Iglesia  Medieval  ,admin/img_prod/TP2/TP2-720x540.png
17,ML2,Librería,LIBRERÍA DESPACHO INGLESA CAOBA 4 PUERTAS,Despacho  Inglesa  ,admin/img_prod/ML2/ML2-720x540.png
18,MED2,Atrezzo medicina,Instrumentos médicos quirúrgicos actuales,Hospital  Medicina  ,admin/img_prod/MED2/MED2-720x540.png
19,HOS2,Hospitales,Banqueta hospital cuadrada chapa blanca,Hospital  Medicina  ,admin/img_prod/HOS2/HOS2-1-720x540.png
20,VAA2,Atrezzo vario,Descatalogado,Descatalogado  ,admin/img_prod/VAA2/LOGOTIPO VAZQUEZ- 720x540.png
21,GRA2,Gramófonos y gramolas,Gramófono octogonal blanco con bocina blanca,Musica  ,admin/img_prod/GRA2/GRA2-720x540.png
22,ARA2,Atrezzo Árabe,Mesa árabe rectangular pintada,Arabe  ,admin/img_prod/ARA2/ARA2-1-720x540.png
23,SI2,Sillón,Sillón isabelino limoncillo tapizado tela flores,Isabelino  Salón  Sillería  ,admin/img_prod/SI2/SI2-1-720x540.png
24,RAD2,Radios,Radio antigua caja madera 3 mandos dial cuadrado,,admin/img_prod/RAD2/RAD2-720x540.png
25,JAM2,Jamuga,Jamuga cabezas y garras dorada tapizada terciopelo rojo,Navidad  ,admin/img_prod/JAM2/JAM2-1-720x540.png
26,MV2,Muebles varios,Chifonier caoba marquetería flores,Chifonier  ,admin/img_prod/MV2/MV2-1-720x540.png
27,JAU2,Jaula,Jaula de barrotes de hierro con argollas techo,,admin/img_prod/JAU2/JAU2-1-720x540.png
28,JUE2,Juego,Mesa de ruleta caoba patas torneadas,Casino  ,admin/img_prod/JUE2/JUE2-1-720x540.png
